city_no,city_name,city_pinyin,city_code,station,long,lat,height,coast,heating,province
1,北京,Beijing,BJ,,3948,11628,313,0,1,北京
2,天津,Tianjin,TJ,,3905,11704,25,1,1,天津
3,石家庄,Shijiazhuang,SJZ,,3804,11421,1036,0,1,河北
4,太原,Taiyuan,TY,,3747,11233,7783,0,1,山西
5,呼和浩特,Hohhot,HHHT,,4049,11141,10630,0,1,内蒙古
6,沈阳,Shenyang,SY,,4144,12331,490,0,1,辽宁
7,大连,Dalian,DL,,3854,12138,915,1,1,辽宁
8,长春,Changchun,CC,,4354,12513,2368,0,1,吉林
9,哈尔滨,Harbin,HEB,,4545,12646,1423,0,1,黑龙江
10,上海,Shanghai,SH,,3124,12127,55,1,0,上海
11,南京,Nanjing,NJ,,3200,11848,71,0,0,江苏
12,杭州,Hangzhou,HZ,,3014,12010,417,0,0,浙江
13,宁波,Ningbo,NB,,3002,12206,357,1,0,浙江
14,合肥,Hefei,HF,,3147,11718,270,0,0,安徽
15,福州,Fuzhou,FZ,,2605,11917,840,1,0,福建
16,厦门,Xiamen,XM,,2429,11804,1394,1,0,福建
17,南昌,Nanchang,NC,,2836,11555,467,0,0,江西
18,济南,Jinan,JN,,3636,11703,1703,0,1,山东
19,青岛,Qingdao,QD,,3604,12020,760,1,1,山东
20,郑州,Zhengzhou,ZZ,,3443,11339,1104,0,1,河南
21,武汉,Wuhan,WH,,3037,11408,231,0,0,湖北
22,长沙,Changsha,CS,,2812,11305,449,0,0,湖南
23,广州,Guangzhou,GZ,,2310,11320,410,1,0,广东
24,深圳,Shenzhen,SZ,,2233,11400,630,1,0,广东
25,南宁,Nanning,NN,,2238,10813,1216,0,0,广西
26,海口,Haikou,HK,,2000,11015,635,1,0,海南
27,重庆,Chongqing,CQ,,2935,10628,2591,0,0,重庆
28,成都,Chengdu,CD,,3042,10350,5393,0,0,四川
29,贵阳,Guiyang,GY,,2635,10644,12238,0,0,贵州
30,昆明,Kunming,KM,,2501,10241,18924,0,0,云南
31,西安,Xian,XA,,3426,10858,4100,0,1,陕西
32,兰州,Lanzhou,LZ,,3621,10356,16685,0,1,甘肃
33,西宁,Xining,XN,,3643,10145,22952,0,1,青海
34,银川,Yinchuan,YC,,3829,10613,11114,0,1,宁夏
35,乌鲁木齐,Urumqi,WLMQ,,4347,8739,9350,0,1,新疆
