序号,城市名称,所属省份,经度,纬度,海拔,是否临海,是否供暖,
1,北京,北京,东经116度28分,北纬39度48分,313,否,是,
2,天津,天津,东经117度04分,北纬39度05分,25,是,是,
3,石家庄,河北,东经114度21分,北纬38度04分,1036,否,是,
4,太原,山西,东经112度33分,北纬37度47分,7783,否,是,
5,呼和浩特,内蒙古,东经111度41分,北纬40度49分,10630,否,是,
6,沈阳,辽宁,东经123度31分,北纬41度44分,490,否,是,
7,大连,辽宁,东经121度38分,北纬38度54分,915,是,是,
8,长春,吉林,东经125度13分,北纬43度54分,2368,否,是,
9,哈尔滨,黑龙江,东经126度46分,北纬45度45分,1423,否,是,
10,上海,上海,东经121度27分,北纬31度24分,55,是,否,
11,南京,江苏,东经118度48分,北纬32度00分,71,否,否,
12,杭州,浙江,东经120度10分,北纬30度14分,417,否,否,
13,宁波,浙江,东经122度06分,北纬30度02分,357,是,否,
14,合肥,安徽,东经117度18分,北纬31度47分,270,否,否,
15,福州,福建,东经119度17分,北纬26度05分,840,是,否,
16,厦门,福建,东经118度04分,北纬24度29分,1394,是,否,
17,南昌,江西,东经115度55分,北纬28度36分,467,否,否,
18,济南,山东,东经117度03分,北纬36度36分,1703,否,是,
19,青岛,山东,东经120度20分,北纬36度04分,760,是,是,
20,郑州,河南,东经113度39分,北纬34度43分,1104,否,是,
21,武汉,湖北,东经114度08分,北纬30度37分,231,否,否,
22,长沙,湖南,东经113度05分,北纬28度12分,449,否,否,
23,广州,广东,东经113度20分,北纬23度10分,410,是,否,
24,深圳,广东,东经114度00分,北纬22度33分,630,是,否,
25,南宁,广西,东经108度13分,北纬22度38分,1216,否,否,
26,海口,海南,东经110度15分,北纬20度00分,635,是,否,
27,重庆,重庆,东经106度28分,北纬29度35分,2591,否,否,
28,成都,四川,东经103度50分,北纬30度42分,5393,否,否,
29,贵阳,贵州,东经106度44分,北纬26度35分,12238,否,否,
30,昆明,云南,东经102度41分,北纬25度01分,18924,否,否,
31,西安,陕西,东经108度58分,北纬34度26分,4100,否,是,
32,兰州,甘肃,东经103度56分,北纬36度21分,16685,否,是,
33,西宁,青海,东经101度45分,北纬36度43分,22952,否,是,
34,银川,宁夏,东经106度13分,北纬38度29分,11114,否,是,
35,乌鲁木齐,新疆,东经873度39分,北纬43度47分,9350,否,是,
