城市,经度,纬度,海拔,是否临海,是否供暖
北京,北纬39°48,东经116°28,31,否,是
天津,北纬39°05,东经117°04,3,是,是
石家庄,北纬38°04,东经114°21,104,否,是
太原,北纬37°47,东经112°33,778,否,是
呼和浩特,北纬40°49,东经111°41,1063,否,是
沈阳,北纬41°44,东经123°31,49,否,是
大连,北纬38°54,东经121°38,92,是,是
长春,北纬43°54,东经125°13,237,否,是
哈尔滨,北纬45°45,东经126°46,142,否,是
上海,北纬31°24,东经121°27,6,是,否
南京,北纬32°00,东经118°48,7,否,否
杭州,北纬30°14,东经120°10,42,否,否
宁波,北纬30°02,东经122°06,36,是,否
合肥,北纬31°47,东经117°18,27,否,否
福州,北纬26°05,东经119°17,84,是,否
厦门,北纬24°29,东经118°04,139,是,否
南昌,北纬28°36,东经115°55,47,否,否
济南,北纬36°36,东经117°03,170,否,是
青岛,北纬36°04,东经120°20,76,是,是
郑州,北纬34°43,东经113°39,110,否,是
武汉,北纬30°37,东经114°08,23,否,否
长沙,北纬28°12,东经113°05,45,否,否
广州,北纬23°10,东经113°20,41,是,否
深圳,北纬22°33,东经114°00,63,是,否
南宁,北纬22°38,东经108°13,122,否,否
海口,北纬20°00,东经110°15,64,是,否
重庆,北纬29°35,东经106°28,259,否,否
成都,北纬30°42,东经103°50,539,否,否
贵阳,北纬26°35,东经106°44,1224,否,否
昆明,北纬25°01,东经102°41,1892,否,否
西安,北纬34°26,东经108°58,410,否,是
兰州,北纬36°21,东经103°56,1669,否,是
西宁,北纬36°43,东经101°45,2295,否,是
银川,北纬38°29,东经106°13,1111,否,是
乌鲁木齐,北纬43°47,东经873°39,935,否,是
